timestamp,left,right,average
0.0,212,3,107.5
0.1,211,2,106.5
0.2,210,2,106.0
0.3,211,2,106.5
0.4,208,3,105.5
0.5,208,3,105.5
0.6,207,3,105.0
0.7,206,3,104.5
0.8,204,3,103.5
0.9,203,2,102.5
1.0,202,3,102.5
1.1,201,2,101.5
1.2,200,3,101.5
1.3,198,3,100.5
1.4,200,3,101.5
1.5,196,3,99.5
1.6,196,3,99.5
1.7,198,3,100.5
1.8,198,2,100.0
1.9,203,3,103.0
2.0,203,3,103.0
2.1,203,3,103.0
2.2,205,2,103.5
2.3,207,3,105.0
2.4,207,3,105.0
2.5,209,3,106.0
2.6,210,3,106.5
2.7,207,2,104.5
2.8,206,3,104.5
2.9,207,3,105.0
3.0,206,3,104.5
3.1,202,2,102.0
3.2,202,3,102.5
3.3,201,3,102.0
3.4,201,3,102.0
3.5,201,3,102.0
3.6,196,2,99.0
3.7,195,3,99.0
3.8,194,3,98.5
3.9,192,3,97.5
4.0,191,2,96.5
4.1,190,3,96.5
4.2,190,3,96.5
4.3,190,3,96.5
4.4,193,2,97.5
4.5,195,2,98.5
4.6,200,2,101.0
4.7,203,2,102.5
4.8,202,2,102.0
4.9,200,2,101.0
